key	de
career.blurb_seasons	LIGA UND POKAL IN JEDER SAISON
career.blurb_promotion	LIGA GEWINNEN STEIGT AUF, LETZTER STEIGT AB
career.start	KARRIERE STARTEN
# MANAGER NAME ENTRY
mgr.title	MANAGERNAME
mgr.hint	NAME TIPPEN   LINKS/RECHTS TITEL   ENTER OK   ESC ABBRECHEN
mgr.title_row	TITEL
mgr.title_mr	HR
mgr.title_ms	FR
mgr.default_name	SPIELER
# COMPETITION DASHBOARD
dash.play_next_match	NAECHSTES SPIEL
dash.continue	WEITER
dash.next_season	NAECHSTE SAISON
dash.table	TABELLE
dash.fixtures	SPIELPLAN
dash.squad	KADER
dash.lineup	AUFSTELLUNG
dash.transfers	TRANSFERS
dash.staff	STAB
dash.scouting	SCOUTING
dash.record	BILANZ
dash.save_as	SPEICHERN ALS
dash.retire	RUECKTRITT
dash.abandon	AUFGEBEN
dash.management_record	MANAGER-BILANZ
dash.status_retired	ZURUECKGETRETEN
dash.status_champions	MEISTER:
dash.status_eliminated	AUSGESCHIEDEN
dash.offers_prefix	ANGEBOTE
dash.offers_unseen_mark	!
# NEXT MATCH / VIEW RESULT
next.title	NAECHSTES SPIEL
result.title	SPIELENDE
result.label	ERGEBNIS
# MANAGEMENT RECORD
mrec.title	MANAGER-BILANZ
mrec.title_of_prefix	MANAGER-BILANZ VON
mrec.career_over	KARRIERE VORBEI
mrec.season	SAISON
mrec.div	LIGA
mrec.trophies	TROPHAEEN
mrec.none_yet	NOCH KEINE
mrec.history	VERLAUF
mrec.first_season	ERSTE SAISON LAEUFT
# RETIRE CONFIRM
retire.title	RUECKTRITT
retire.prompt	VOM MANAGEMENT ZURUECKTRETEN?
retire.confirm	RUECKTRITT
# PRESET COMPETITIONS
preset.title	VORGABE-WETTBEWERB
preset.blurb	ECHTE WETTBEWERBE MIT ECHTEN TEILNEHMERN
preset.european_cup	EUROPAPOKAL
preset.uefa_cup	UEFA-POKAL
preset.cup_winners_cup	POKALSIEGER-CUP
preset.world_cup	WELTMEISTERSCHAFT
preset.european_championship	EUROPAMEISTERSCHAFT
preset.copa_america	COPA AMERICA
preset.team_knockout_suffix	TEAM K.O.
preset.groups_then_knockout_suffix	4ER-GRUPPEN DANN K.O.
preset.create	ERSTELLEN
# SAVE AS / LOAD GAME
save.title	SPEICHERN ALS
save.hint	SLOT-NAME TIPPEN   ENTER OK   ESC ABBRECHEN
save.saved_as_prefix	GESPEICHERT ALS
load.title	SPIEL LADEN
load.delete_mode	LOESCHMODUS
load.no_saved_games	KEINE SPEICHERSTAENDE
# STANDINGS / FIXTURES
table.title	TABELLE
table.group	GRUPPE
fixtures.title	SPIELPLAN
# TEAM SETUP
teamcfg.title	TEAM ANSICHT
teamcfg.team	TEAM
teamcfg.team_home_prefix	HEIM
teamcfg.team_away_prefix	GAST
teamcfg.switch_home_away	HEIM / GAST WECHSELN
teamcfg.coach	TRAINER
# COMPETITION ENGINE
stage.league	LIGA
stage.group_prefix	GRUPPE
stage.final	FINALE
stage.semi_final	HALBFINALE
stage.quarter_final	VIERTELFINALE
stage.round_of_16	ACHTELFINALE
stage.round_of_32	SECHZEHNTELFINALE
stage.round_of_prefix	RUNDE DER
stage.cup_prefix	POKAL
round.league_round	LIGA - RUNDE
round.competition_complete	WETTBEWERB BEENDET
round.no_fixtures	KEINE SPIELE
status.no_player_team	KEIN SPIELERTEAM
status.you_are_champion	DU BIST MEISTER
status.you_are_prefix	DU BIST
status.you_are_unplaced	DU BIST UNPLATZIERT
status.you_were_eliminated	DU BIST AUSGESCHIEDEN
status.you_are_through	DU BIST EINE RUNDE WEITER
status.you_are_in_prefix	DU BIST IN
status.you_are_in_the_prefix	DU BIST IM
ord.st	.
ord.nd	.
ord.rd	.
ord.th	.
season.cup_winner	SIEGER
season.cup_runner_up	FINALIST
season.cup_out_in_prefix	RAUS IN
season.cup_out	RAUS
season.trophy_league	SAISON %d LIGAMEISTER
season.trophy_cup	SAISON %d POKALSIEGER
season.history_line	S%d: LIGA %s, POKAL %s
season.history_retired	S%d: RUECKTRITT
fixture.penalties_mark	E
# CAREER SQUAD
squad.title_suffix	KADER
squad.default_club	VEREIN
squad.player_action	SPIELERAKTION
squad.no_player_selected	KEIN SPIELER GEWAEHLT
squad.fit_injured	VERL
# PLAYER ACTION
paction.value_prefix	WERT
paction.time_to_negotiate	VERHANDLUNGSZEIT
paction.take_off_list	VON LISTE NEHMEN
paction.put_on_list	AUF TRANSFERLISTE
paction.give_free_transfer	ABLOESEFREI ABGEBEN
paction.off_list_prefix	VON LISTE
paction.listed_prefix	GELISTET
paction.list_full_prefix	LISTE VOLL (MAX
# FREE TRANSFER
free.title	ABLOESEFREI
free.confirm_prompt	%s ABLOESEFREI ABGEBEN?
free.release	ABGEBEN
free.released_prefix	ABGEGEBEN
free.squad_too_small	KADER ZU KLEIN
free.release_failed	ABGABE FEHLGESCHLAGEN
# LINEUP EDITOR
lineup.title	TEAM-AUFSTELLUNG
lineup.auto	AUTO
lineup.hint	HOCH/RUNTER REIHE   FEUER WAEHLEN/TAUSCH   ESC ZURUECK
lineup.picked_prefix	GEWAEHLT
lineup.picked_swap_hint	- REIHE FEUERN ZUM TAUSCH
lineup.unmarked_prefix	ABGEWAEHLT
lineup.slot_not_available	PLATZ NICHT VERFUEGBAR
lineup.goal_needs_keeper	TORPLATZ BRAUCHT TORWART
lineup.swapped_prefix	GETAUSCHT
lineup.swapped_and	UND
lineup.auto_restored	AUTO-AUFSTELLUNG ZURUECK
lineup.auto_label	AUTO-AUFSTELLUNG
lineup.custom_label	EIGENE AUFSTELLUNG
lineup.slot	PLATZ
lineup.slot_gk	TW
lineup.slot_sub	ERS
# STAFF
staff.title	STAB
staff.coach	TRAINER
staff.fire_selected	GEWAEHLTEN ENTLASSEN
staff.hire_coach	TRAINER HOLEN
staff.training_focus	TRAININGSFOKUS
staff.no_coach_selected	KEIN TRAINER GEWAEHLT
staff.no_coaches	KEINE TRAINER
# FIRE COACH
firecoach.title	TRAINER ENTLASSEN
firecoach.coach_not_available	TRAINER NICHT VERFUEGBAR
firecoach.severance_prefix	ABFINDUNG
firecoach.fire	ENTLASSEN
firecoach.fired_prefix	ENTLASSEN
# HIRE COACH
hire.title	TRAINER HOLEN
hire.candidate	KANDIDAT
hire.hire	HOLEN
hire.hired_prefix	GEHOLT
# TRAINING FOCUS
focus.title	TRAININGSFOKUS
focus.toggle	FOKUS UMSCHALTEN
focus.removed_prefix	ENTFERNT
focus.focused_prefix	FOKUSSIERT
focus.max_prefix	MAX
focus.max_suffix	FOKUS-SPIELER
focus.mark	*
# SCOUTING
scout.title	SCOUTING
scout.scout_player	SPIELER SCOUTEN
scout.improve_prefix	SCOUTING VERBESSERN
scout.maxed	SCOUTING MAXIMAL
scout.unavailable	SCOUTING NICHT MOEGLICH
scout.quality_prefix	SCOUT-QUALITAET
scout.no_watched	KEINE BEOBACHTETEN SPIELER
scout.scout_selected	GEWAEHLTEN SCOUTEN
scout.scout_prefix	SCOUTEN
scout.scouted_prefix	GESCOUTET
scout.cost_prefix	KOSTEN
scout.no_players_available	KEINE SPIELER VERFUEGBAR
# TRANSFER MARKET
market.title	TRANSFERMARKT
market.max_price	MAX PREIS
market.buy_selected	GEWAEHLTEN KAUFEN
market.no_player_selected	KEIN SPIELER GEWAEHLT
market.free_agent	VEREINSLOS
market.club_fallback_prefix	VEREIN
market.price_any	ALLE
market.price_100k	<100K
market.price_250k	<250K
market.price_500k	<500K
market.price_1m	<1M
market.price_2m	<2M
market.price_5m	<5M
market.price_10m	<10M
market.price_over_10m	>=10M
# BUY / NEGOTIATION
buy.title	SPIELER KAUFEN
buy.asking_prefix	FORDERUNG
buy.your_bid	DEIN GEBOT
buy.make_bid	GEBOT ABGEBEN
buy.club_unwilling	VEREIN WILL KEINE SPIELER KAUFEN
buy.no_time	KEINE VERHANDLUNGSZEIT MEHR
buy.enter_a_bid	GEBOT EINGEBEN
buy.not_enough_money	NICHT GENUG GELD
buy.bought_prefix	GEKAUFT
buy.squad_full	KADER VOLL
buy.transfer_failed	TRANSFER FEHLGESCHLAGEN
buy.counter_prefix	GEGENANGEBOT
buy.rejected	GEBOT ZU NIEDRIG - ABGELEHNT
# INCOMING OFFERS
offers.title	TRANSFERANGEBOTE
offers.no_offers	KEINE ANGEBOTE
offers.offer	ANGEBOT
offers.accept	ANNEHMEN
offers.demand_more	MEHR FORDERN
offers.reject	ABLEHNEN
offers.header_negotiate_prefix	VERHANDLUNGSZEIT
offers.header_sells	VERKAEUFE
offers.not_available	ANGEBOT NICHT VERFUEGBAR
offers.sold_prefix	VERKAUFT
offers.sold_for	FUER
offers.squad_too_small	KADER ZU KLEIN
offers.accept_failed	ANNAHME FEHLGESCHLAGEN
offers.improved_prefix	ERHOEHT AUF
offers.withdrawn	ANGEBOT ZURUECKGEZOGEN
offers.refused	SIE ZAHLEN NICHT MEHR
offers.rejected	ANGEBOT ABGELEHNT
# MATCH HUD / OVERLAYS
hud.half_time	HALBZEIT
hud.full_time	SPIELENDE
hud.penalties	ELFMETER
hud.paused	PAUSE
hud.pause_resume_hint	leer  weiter
hud.pause_quit_hint	ESC    zum menue
hud.goal	TOR!
hud.throw_in	EINWURF
hud.corner	ECKE
hud.goal_kick	ABSTOSS
hud.press_space	leer druecken
hud.team_home_fallback	HEIM
hud.team_away_fallback	GAST
goal.type_penalty	(ELF)
goal.type_own_goal	(ET)
# S34 additions
bench.coach	TRAINER
bench.coming_on	KOMMT: {0}
bench.fire_swap	FEUER WAEHLEN+WAEHLEN = TAUSCH
bench.formation	FORMATION
bench.formation_colon	FORMATION:
bench.help_leave	LINKS/RECHTS BANK VERLASSEN
bench.help_select	HOCH/RUNTER WAEHLEN  FEUER OK
bench.hold_mark	FEUER HALTEN = SPIELER MARKIEREN
bench.player_off	SPIELER RAUS:
bench.sub_in_progress	WECHSEL LAEUFT...
bench.swap_formation	TAUSCH / FORMATION:
bench.tag_inj	 VER
bench.tag_off	 [AUS]
bench.tag_sub	 [ERS]
bench.title	BANK - {0}
bench.user	SPIELER {0}
career.dash_div_season	LIGA {0}  SAISON {1}
career.price_any	ALLE
career.rec_pwdl	SP {0}   S {1}   U {2}   N {3}   TF {4}   TG {5}
career.rec_season_div	SAISON {0}  {1}  LIGA {2}
career.release_confirm	{0} ABLOESEFREI ABGEBEN?
career.skill_letters	PVHTCSF
career.title_mr	HR
career.title_ms	FR
comp.competition_complete	WETTBEWERB BEENDET
comp.cup	POKAL
comp.entrants_random	ZUFALL
comp.entrants_same_div	GLEICHE LIGA
comp.entrants_same_nation	GLEICHES LAND
comp.league_round	LIGA - RUNDE {0}/{1}
comp.name_career	KARRIERE
comp.name_cup	POKAL
comp.name_league	LIGA
comp.name_tournament	TURNIER
comp.no_fixtures	KEINE SPIELE
comp.no_player_team	KEIN SPIELERTEAM
comp.ord_nd	.
comp.ord_rd	.
comp.ord_st	.
comp.ord_th	.
comp.preset_copa_america	COPA AMERICA
comp.preset_cup_winners_cup	POKALSIEGER-CUP
comp.preset_european_championship	EUROPAMEISTERSCHAFT
comp.preset_european_cup	EUROPAPOKAL
comp.preset_uefa_cup	UEFA-POKAL
comp.preset_world_cup	WELTMEISTERSCHAFT
comp.slot_finished	BEENDET
comp.slot_no_team	KEIN TEAM
comp.slot_round	RUNDE {0}/{1}
comp.slot_winner	SIEGER {0}
comp.stage_final	FINALE
comp.stage_group	GRUPPE
comp.stage_league	LIGA
comp.stage_quarter	VIERTELFINALE
comp.stage_r16	ACHTELFINALE
comp.stage_r32	SECHZEHNTELFINALE
comp.stage_round_of	RUNDE DER
comp.stage_semi	HALBFINALE
comp.you_are_pos	DU BIST {0}
comp.you_champion	DU BIST MEISTER
comp.you_eliminated	DU BIST AUSGESCHIEDEN
comp.you_in	DU BIST IN {0}
comp.you_in_the	DU BIST IM {0}
comp.you_through	DU BIST EINE RUNDE WEITER
comp.you_unplaced	DU BIST UNPLATZIERT
firstrun.body	Keine SWOS-Spieldaten gefunden.\n\nOpenSWOS braucht Sensible World of Soccer 96/97 (Amiga-Edition).\nZwei Moeglichkeiten - dann das Spiel neu starten:\n\n  (a) Amiga-Diskettenabbilder (*.adf) hier ablegen:\n        {0}\n      OpenSWOS entpackt beim naechsten Start das Noetige.\n\n  (b) Schon lose Spieldateien (z.B. eine WHDLoad-Installation)?\n      Diese hierhin kopieren:\n        {1}\n\nOptional: den PC-(DOS-)DATA-Ordner in 'original_swos_pc/' legen fuer eine\netwas groessere Teamliste - nicht noetig, aendert die Grafik nicht.\n\nAeltere SWOS-Ausgaben (94/95 usw.) sind NICHT kompatibel.
menu.team_coach_div	TRAINER {0}   LIGA {1}
menu.team_div	LIGA {0}
menu.versus	  V
nation.continent_africa	AFRIKA
nation.continent_asia	ASIEN
nation.continent_europe	EUROPA
nation.continent_north_america	NORDAMERIKA
nation.continent_oceania	OZEANIEN
nation.continent_south_america	SUEDAMERIKA
nav.hint_menu	HOCH/RUNTER WAEHLEN   FEUER OK   ESC ZURUECK
nav.hint_picker	HOCH/RUNTER BLAETTERN   FEUER WAEHLEN   ESC ABBRECHEN
nav.hint_picker_cols	HOCH/RUNTER BLAETTERN   LINKS/RECHTS SPALTE   FEUER WAEHLEN   ESC ABBRECHEN
nav.hint_stepper	HOCH/RUNTER WAEHLEN   LINKS/RECHTS AENDERN   FEUER OK   ESC ZURUECK
nav.hint_table	HOCH/RUNTER REIHE   FEUER OK   ESC ZURUECK
opt.commentator	KOMMENTATOR
opt.commentator_hint	GESPROCHENER KOMMENTAR (NUR PC-SOUND)
opt.display_fullfill	VOLLBILD FUELLEN
opt.display_fullinteger	VOLLBILD GANZZAHL
opt.display_unknown	?
opt.display_windowed	FENSTER
opt.len_min_whole	{0} MIN ECHT  (GANZES SPIEL)
opt.len_sec_whole	{0}S ECHT  (GANZES SPIEL)
opt.smoothing_sharp	SCHARF
overlay.corner	ECKE
overlay.fulltime	SPIELENDE
overlay.fulltime_body	SPIELENDE\n\n{0}  {1} - {2}  {3}\n\nleer druecken
overlay.goal	TOR!
overlay.goalkick	ABSTOSS
overlay.halftime	HALBZEIT
overlay.paused	PAUSE\n\nleer  weiter\nESC    zum menue
overlay.penalties	ELFMETER
overlay.throwin	EINWURF
pos.a	A
pos.d	V
pos.gk	TW
pos.lb	LV
pos.lw	LA
pos.m	M
pos.none	--
pos.rb	RV
pos.rw	RA
pos.unknown	?
result.away	GAST
result.home	HEIM
result.og	(ET)
result.pen	(ELF)
scout.notice_maxed	SCOUTING MAXIMAL
scout.notice_no_money	NICHT GENUG GELD
scout.notice_player_unavailable	SPIELER NICHT VERFUEGBAR
scout.notice_unavailable	SCOUTING NICHT MOEGLICH
staff.notice_coach_unavailable	TRAINER NICHT VERFUEGBAR
staff.notice_focus_full	FOKUS VOLL
staff.notice_full	STAB VOLL
staff.notice_no_money	NICHT GENUG GELD
staff.notice_player_unavailable	SPIELER NICHT VERFUEGBAR
staff.notice_unavailable	STAB NICHT VERFUEGBAR
staff.spec_attack	ANGRIFF
staff.spec_defence	ABWEHR
staff.spec_general	ALLGEMEIN
staff.spec_youth	JUGEND
